                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3124,                 1.0856,                 1.0802,                0.88677,                0.85311,                0.88471,                0.63377,                0.97732,                0.65226,                 0.9683,             0.00066575,             0.00066575,             0.00066575
                      2,                 1.1199,                0.80009,                 0.9949,                0.88598,                0.88234,                0.89947,                0.66791,                0.90515,                0.62165,                0.94243,              0.0013136,              0.0013136,              0.0013136
                      3,                 1.0843,                0.75328,                0.98509,                0.89461,                0.88765,                0.90041,                0.68357,                0.86685,                0.58635,                0.92777,              0.0019425,              0.0019425,              0.0019425
                      4,                 1.0449,                0.71982,                0.96986,                0.88961,                0.89195,                0.90214,                0.68454,                0.88223,                0.57639,                0.92909,              0.0019151,              0.0019151,              0.0019151
                      5,                 1.0312,                0.70541,                0.96368,                0.90656,                0.90428,                0.91803,                0.70099,                0.85339,                0.53618,                 0.9182,              0.0019151,              0.0019151,              0.0019151
                      6,                 0.9957,                0.67067,                0.95461,                0.90293,                0.90201,                0.91355,                 0.7093,                0.81904,                0.52335,                0.91281,              0.0018869,              0.0018869,              0.0018869
                      7,                0.98557,                0.65819,                0.95123,                0.90379,                0.90393,                 0.9153,                0.70274,                0.84055,                0.52391,                0.91884,              0.0018586,              0.0018586,              0.0018586
                      8,                0.97388,                0.64973,                0.94823,                0.89881,                0.90191,                0.91279,                0.70245,                0.84251,                0.52816,                0.91505,              0.0018303,              0.0018303,              0.0018303
                      9,                0.96601,                0.63476,                0.94588,                0.90769,                0.91774,                0.93048,                0.72176,                0.81504,                0.49855,                0.90517,               0.001802,               0.001802,               0.001802
                     10,                0.95386,                0.62683,                0.94195,                0.90508,                0.91649,                0.92461,                0.72045,                0.81258,                0.49465,                0.90348,              0.0017737,              0.0017737,              0.0017737
                     11,                0.94906,                0.62288,                0.93967,                0.91519,                0.91362,                0.92716,                0.72327,                0.80248,                0.49626,                0.89902,              0.0017454,              0.0017454,              0.0017454
                     12,                0.92973,                0.60334,                0.93263,                0.91389,                0.91699,                0.92973,                0.73046,                0.81093,                0.48511,                0.90275,              0.0017171,              0.0017171,              0.0017171
                     13,                0.93008,                0.60222,                0.93245,                0.90927,                0.91898,                0.92736,                0.73367,                0.78263,                0.47963,                0.89754,              0.0016889,              0.0016889,              0.0016889
                     14,                0.91477,                0.58717,                0.92701,                 0.9123,                0.90689,                0.92566,                0.73367,                0.77874,                0.47711,                0.89853,              0.0016606,              0.0016606,              0.0016606
                     15,                0.91457,                0.58259,                0.92935,                0.91809,                 0.9248,                0.93881,                0.74459,                0.77968,                0.46311,                0.89521,              0.0016323,              0.0016323,              0.0016323
                     16,                0.90883,                0.58338,                0.92595,                 0.9155,                 0.9206,                 0.9333,                0.73494,                0.78215,                0.46374,                0.89995,               0.001604,               0.001604,               0.001604
                     17,                0.90661,                0.57948,                0.92592,                0.92428,                0.91337,                0.93837,                0.74985,                0.75795,                0.45017,                  0.891,              0.0015757,              0.0015757,              0.0015757
                     18,                0.89978,                0.57476,                0.92203,                0.91483,                0.92515,                0.93271,                0.74378,                0.76442,                0.45233,                0.88962,              0.0015474,              0.0015474,              0.0015474
                     19,                0.89602,                0.56489,                0.92072,                0.92419,                0.91778,                0.93796,                0.74586,                0.75651,                 0.4477,                0.89018,              0.0015191,              0.0015191,              0.0015191
                     20,                0.89068,                0.56552,                0.92104,                0.92437,                0.92634,                0.94029,                0.75154,                0.75057,                0.44345,                0.88782,              0.0014909,              0.0014909,              0.0014909
                     21,                0.88933,                0.56454,                0.91879,                0.91699,                0.92526,                0.94001,                0.74602,                0.76729,                 0.4455,                0.89192,              0.0014626,              0.0014626,              0.0014626
                     22,                0.88002,                0.55433,                0.91809,                0.92535,                0.92704,                0.94294,                0.75943,                0.73361,                0.43452,                0.88208,              0.0014343,              0.0014343,              0.0014343
                     23,                0.88223,                0.55532,                0.91845,                0.92378,                0.92571,                 0.9425,                0.75581,                0.74872,                0.43564,                0.88661,               0.001406,               0.001406,               0.001406
                     24,                0.87243,                0.54677,                 0.9163,                0.92564,                0.92779,                0.94148,                0.76091,                0.72785,                 0.4327,                0.88288,              0.0013777,              0.0013777,              0.0013777
                     25,                0.87048,                0.54183,                0.91334,                0.92856,                0.92696,                0.94141,                0.75777,                 0.7311,                0.42854,                 0.8819,              0.0013494,              0.0013494,              0.0013494
                     26,                0.86474,                0.53809,                 0.9152,                0.92826,                 0.9287,                0.94329,                0.75839,                0.74113,                0.42856,                0.88542,              0.0013211,              0.0013211,              0.0013211
                     27,                0.86635,                0.54057,                0.91242,                 0.9275,                0.92798,                0.94414,                 0.7629,                0.72578,                0.42076,                0.88223,              0.0012929,              0.0012929,              0.0012929
                     28,                0.86417,                0.53527,                0.91308,                0.92418,                0.92828,                0.94605,                0.76211,                0.73572,                0.42443,                0.88434,              0.0012646,              0.0012646,              0.0012646
                     29,                0.85137,                0.52891,                0.90786,                0.93004,                0.92785,                0.94735,                 0.7645,                0.72788,                0.41768,                0.88062,              0.0012363,              0.0012363,              0.0012363
                     30,                0.85113,                 0.5252,                0.90787,                0.92779,                0.93145,                0.94749,                0.76562,                0.72587,                0.41818,                0.87991,               0.001208,               0.001208,               0.001208
                     31,                0.85066,                0.52126,                0.90886,                0.93495,                0.92439,                0.94539,                 0.7664,                0.71818,                0.41919,                0.88047,              0.0011797,              0.0011797,              0.0011797
                     32,                0.84564,                0.51796,                0.90873,                 0.9311,                0.92995,                0.94994,                0.77453,                0.70672,                0.40724,                0.87811,              0.0011514,              0.0011514,              0.0011514
                     33,                0.84719,                0.52289,                0.90719,                0.92845,                0.93344,                0.94765,                 0.7675,                0.72728,                0.40998,                0.88228,              0.0011231,              0.0011231,              0.0011231
                     34,                 0.8397,                0.51365,                0.90574,                0.93642,                0.92895,                0.94693,                0.76871,                0.71441,                0.40767,                0.87787,              0.0010949,              0.0010949,              0.0010949
                     35,                0.83795,                 0.5141,                0.90692,                0.92757,                0.93394,                0.94869,                0.76965,                 0.7119,                0.40965,                0.87866,              0.0010666,              0.0010666,              0.0010666
                     36,                0.83919,                0.50851,                0.90591,                0.93419,                0.92584,                0.94931,                0.77198,                0.71036,                0.40252,                0.87711,              0.0010383,              0.0010383,              0.0010383
